Before erosion ID,Initial X,Initial Y,Initial Z,Norm Initial X,Norm Initial Y,Norm Initial Z,Initial connectivity,Before erosion ID.1,Erosion state,Encoded erosion state,Z location half,Z location 0.22,Z location 0.23,Z location 0.24,Z location 0.25,3 connectivity,1 connectivity,2 Connectivity,4 Connectivity,5 Connectivity,Normalized X,Normalized Y,Normalized Z,Threshold Z
460,0.124,0.253,0.2584174,0.253,0.733,0.726,0,460,ERODED,1,1,1,1,1,1,1,1,1,1,1,0.252510227,0.732937685,0.725614433,1
465,0.155,0.324,0.2852486,0.368,0.996,0.821,0,465,ERODED,1,1,1,1,1,1,1,1,1,1,1,0.367794719,0.996290801,0.821494508,1
467,0.219,0.108,0.3241594,0.606,0.195,0.961,0,467,ERODED,1,1,1,1,1,1,1,1,1,1,1,0.605801413,0.195103858,0.960540485,1
469,0.274,0.0731,0.2700513,0.81,0.0657,0.767,0,469,Not eroded,0,1,1,1,1,1,1,1,1,1,1,0.810338416,0.065652819,0.767187647,1
474,0.246,0.116,0.2807302,0.706,0.225,0.805,4,474,Not eroded,0,1,1,1,1,1,0,0,0,1,1,0.706210487,0.224777448,0.805348211,1
479,0.106,0.0558,0.2373633,0.186,0.00148,0.65,4,479,Not eroded,0,1,1,1,0,0,0,0,0,1,1,0.185570844,0.00148368,0.650378563,1
482,0.12,0.282,0.2278409,0.238,0.841,0.616,0,482,ERODED,1,1,1,0,0,0,1,1,1,1,1,0.237634808,0.840504451,0.616350699,1
484,0.295,0.0763,0.2796219,0.888,0.0775,0.801,4,484,Not eroded,0,1,1,1,1,1,0,0,0,1,1,0.888434362,0.077522255,0.801387751,1
486,0.149,0.272,0.256124,0.345,0.803,0.717,0,486,Not eroded,0,1,1,1,1,1,1,1,1,1,1,0.345481592,0.803412463,0.717419072,1
489,0.126,0.291,0.2811184,0.26,0.874,0.807,0,489,ERODED,1,1,1,1,1,1,1,1,1,1,1,0.259947936,0.87388724,0.806735426,1
490,0.314,0.056,0.2830394,0.959,0.00223,0.814,3,490,Not eroded,0,1,1,1,1,1,1,0,0,1,1,0.959092599,0.002225519,0.813600032,1
493,0.264,0.0769,0.2720094,0.773,0.0797,0.774,4,493,Not eroded,0,1,1,1,1,1,0,0,0,1,1,0.77314987,0.079747774,0.774184828,1
494,0.0858,0.236,0.2899744,0.11,0.67,0.838,0,494,ERODED,1,1,1,1,1,1,1,1,1,1,1,0.110449981,0.669881306,0.83838194,1
